RegistrationNumber,Make,Model,MakeYear,Body,Transmission,Fuel,Trim,Mileage,DTCListingPrice,NumPaintedParts,NumReplacedParts
06WFB307,Fiat,Egea,2022,Sedan,Manuel,Benzin,1.4 Fire Easy Plus 95HP,6025,717000,0,0
34EZT350,Hyundai,Bayon,2022,SUV,Otomatik,Benzin,1.4 Mpi Style 100HP,22000,981000,0,0
35ATJ670,BMW,2 Serisi,2020,Coupe,Otomatik,Benzin,Gran Coupe 218i First Edition M Sport 140HP,72340,1661000,0,0
34WIM754,Renault,Megane,2020,Sedan,Otomatik,Benzin,Sedan 1.3 Tce Icon Edc 140HP,30832,1088000,0,0
45UB3009,Honda,Civic,2016,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Elegance 125HP,103119,886000,0,0
06WBS709,Honda,Civic,2013,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Elegance 125HP,135000,748000,7,0
06AFU093,Nissan,Micra,2017,Hatchback,Otomatik,Benzin,1.2 Match Cvt 80HP,36391,667000,1,0
34WPF456,Volkswagen,Polo,2020,Hatchback,Otomatik,Benzin,1.0 Tsi Highline Dsg 95HP,56000,985000,2,2
34BBP773,Audi,A4,2019,Sedan,Otomatik,Dizel,Sedan 40 Tdi Quattro Advanced S-Tronic 190HP 4x4,26989,2198000,0,0
34BYS607,Renault,Megane,2018,Hatchback,Otomatik,Dizel,1.5 Dci Icon Edc 110HP,63383,987000,0,0
46ABE447,Opel,Corsa,2018,Hatchback,Otomatik,Benzin,1.4 Enjoy 90HP,81846,741000,0,0
35AA4797,Volkswagen,Tiguan,2009,SUV,Manuel,Benzin,1.4 Tsi 4x2 Sport&Style 150HP,139368,720000,0,2
06AWA575,Skoda,Octavia,2016,Hatchback,Otomatik,Dizel,1.6 Tdi Greentec Style Dsg 110HP,130954,930000,1,0
35ACZ050,Ford,Kuga,2018,SUV,Otomatik,Dizel,1.5 Tdci St Line Powershift 120HP,18715,1282000,0,0
34LA7490,Peugeot,3008,2016,SUV,Otomatik,Dizel,1.6 Bluehdi Allure Eat6 120HP,98690,1074000,0,0
34EAA373,Renault,Megane,2016,Hatchback,Otomatik,Dizel,1.5 Dci Icon Edc 110HP,102001,889000,1,0
35ASR490,Fiat,Egea,2020,Sedan,Manuel,Dizel,1.3 Multijet Urban Plus 95HP,13686,744000,0,0
33AKT960,Renault,Taliant,2022,Sedan,Otomatik,Benzin,1.0 Tce Touch X-Tronic 90HP,18515,827000,0,0
07AOL307,Skoda,Scala,2020,Hatchback,Otomatik,Benzin,1.0 Tsi Elite Dsg 115HP,43500,987000,0,0
